id,text,HS,TR,AG,target,combined_score,disagreement_score,uncertainty_score,cardiffnlp_hate_prob,dynabench_hate_prob
926,"Not long back from the wonderful Bilbao where flags are flown proudly stating "" Refugees Welcome"" A socialist society who embrace diversity, especially the British. Returned to More RW smears on false AS, Ashley, &amp; Tories doing what they want. Grim. https://t.co/hmBwcRnnSi",0,0,0,mig,0.5506605836748527,0.6330343835499598,0.46828678379974564,0.8981595635414124,0.10708105564117432
2994,"UN knew years ago about refugee sex-for-food scandal, leaked report reveals https://t.co/1OSIcSOLY0 https://t.co/jG5xWi3GEq",0,0,0,mig,0.5506226422733184,0.6193230743615377,0.48192221018509906,0.8902540802955627,0.10778971761465073
3714,@StopHateProj @LawyersComm @MuslimAdvocates @HIASrefugees @HRC  https://t.co/iMWekbWMYL,0,0,0,mig,0.5505550987179704,0.6365028759969567,0.46460732143898414,0.9024714231491089,0.10922865569591522
344,"Max Mosely son of Fascist Leader Sir Oswald Mosely   Firstly, seems common practice to get knighted for being a Fascist in Britain  Second, he’s given an awful lot of funding to Tom Watson https://t.co/FURfyShRJi",0,0,0,mig,0.550533756715708,0.6463375448730755,0.4547299685583406,0.9056183695793152,0.10627085715532303
2758,"But for the fire crew of Mexican immigrants, politics never enters the mind. This isn’t about @POTUS or his supporters, or about border walls. It’s about the pride of protecting people’s homes. https://t.co/EniG8TEbwa #Immigration",0,0,0,mig,0.5504416072810666,0.6022912319013025,0.49859198266083066,0.8839448094367981,0.1123146265745163
5096,Dear white girls: Regardless of how much black dick you’ve had in your mouth you don’t get a pass to freely say “nigga.” Ever. Lol.,1,0,0,mis,0.5504348523825253,0.6579600235810263,0.4429096811840244,0.8967555165290833,0.0902530699968338
1694,@Inc @BillMurphyJr He looks like a lier. And sure he did.,0,0,0,mig,0.5504235731558947,0.67152988342557,0.4293172628862196,0.9105520248413086,0.0957753136754036
3171,Italy's Salvini declares war on mafia after migrant worker deaths https://t.co/5hnIL03IUP,0,0,0,mig,0.5503856953964458,0.630939077574684,0.46983231321820756,0.9035614728927612,0.1137932613492012
493,"Can anyone answer this question?Why is it OK in this country to make light-hearted, or even offensive comments about Christianity, but similar comments about Islam are considered Islamophobic by the mainstream media?#Burqa #Brexit #bitcoin #immigration #r4today #SaudiArabia",1,0,0,mig,0.5503841588564781,0.6693390798803126,0.43142923783264353,0.901660144329071,0.08821358531713486
1939,@dailytelegraph  when the Tory's relax non EU Immigration for NHS recruitment then make it harder for people to make complaints and sue incompetent medical practice go hand in hand and there is a price for not training UK staff everything has a price! it,0,0,0,mig,0.5502886422250461,0.6681114634490567,0.43246582100103564,0.9134947061538696,0.10079444944858551
