id,text,HS,TR,AG,target,combined_score,disagreement_score,uncertainty_score,cardiffnlp_hate_prob,dynabench_hate_prob
926,"Not long back from the wonderful Bilbao where flags are flown proudly stating "" Refugees Welcome"" A socialist society who embrace diversity, especially the British. Returned to More RW smears on false AS, Ashley, &amp; Tories doing what they want. Grim. https://t.co/hmBwcRnnSi",0,0,0,mig,0.5506605836748527,0.6330343835499598,0.46828678379974564,0.8981595635414124,0.10708105564117432
493,"Can anyone answer this question?Why is it OK in this country to make light-hearted, or even offensive comments about Christianity, but similar comments about Islam are considered Islamophobic by the mainstream media?#Burqa #Brexit #bitcoin #immigration #r4today #SaudiArabia",1,0,0,mig,0.5503841588564781,0.6693390798803126,0.43142923783264353,0.901660144329071,0.08821358531713486
4368,Did this woman and child drown because the EU-backed Libyan coastguard scuttled their boat after they refused to return to Libya with a coastguard that returns all intercepted refugees and migrants to inhumane detention centers? @openarms_fund https://t.co/HkeVFsVVYW https://t.co/XpxmgIfCnk,0,0,0,mig,0.5480098968140885,0.5133182790559945,0.5827015145721826,0.8570321202278137,0.1446724832057953
3069,New Poll: Majority Of Republican Voters Support Separating Families To Deter Illegal Immigration https://t.co/lWxztF1Ris via @dailycaller,0,0,0,mig,0.5470836954323604,0.5473838692823588,0.546783521582362,0.8420904874801636,0.10647318512201309
4287,"Wow. We are officially no longer a nation of immigrants. #WelcomingtheStranger U.S. Citizenship and Immigration Services will remove ""nation of immigrants"" from mission statement https://t.co/9KYCXRKMnu by @rdevro",0,0,0,mig,0.5460777311303092,0.5547804087327682,0.5373750535278502,0.9021978974342346,0.16162724792957306
4375,Shooter opens fire on Border Patrol agent in San Ysidro via @fox5sandiego reason why @Realdonaldtrump we need this Wall #buildThatWall @DonaldJTrumpJr @FoxNews @staceydash,1,0,1,mig,0.5456637634352215,0.7569181335613137,0.33440939330912933,0.9146662354469299,0.04963779076933861
4088,"@RgRockie99 @ThomMAGA @USPatriotBrig Protecting the COUNTRY is the sole purpose of the Military. Not for unnessary foreign endeavours an interference.. The COUNTRY starts at the Border, Mr. Smith. #BuildThatWall",1,0,1,mig,0.5447162712786975,0.7475471625020675,0.34188538005532754,0.953879714012146,0.09422265738248825
4149,"@phoenixkhost @ChenGonSol I’m not sure about the situations of where you guys live, but in the UK, we’re full. Nearly 70 million people on a tiny island that’s already the most densely populated country in Europe. We don’t need more immigration.",1,0,0,mig,0.5445627411704237,0.5453411960313613,0.5437842863094859,0.8295161128044128,0.09527264535427094
1185,Please visit today to honor the thousands of victims killed by illegal aliens!We are building a memorial wall.#RETWEETHelp #BuildThatWall in their memory!Follow @AVIACUSA & @sabine_durden,1,0,0,mig,0.5437261482311022,0.8053733583282104,0.2820789381339941,0.9529268145561218,0.060639820992946625
3104,"@The_RGA @dg4az #BuildThatWall 100% of your tax-deductible donation will go to secure Americas southern border! Together we can save taxpayer money, make our communities safer and build American Pride!",1,0,1,mig,0.5434833696954439,0.7977879689422046,0.28917877044868306,0.9572279453277588,0.06915288418531418
1245,Imagine injured migrant workers who have no family to take care of them and can't afford these scans. https://t.co/J97PWSjpNc via @smh,0,0,0,mig,0.5430273110198953,0.7892456591394453,0.29680896290034525,0.9230509996414185,0.03974326327443123
3324,The U.S. has inflicting lasting trauma and pain upon immigrant families forced to live in horrifying uncertainty. It has to end now. #FamiliesBelongTogether #EndFamilySeparation https://t.co/x0vfdXUy3A,0,0,0,mig,0.5425891502656992,0.8123486940812538,0.27282960645014454,0.9585521221160889,0.0624094121158123
872,‘˜Developing countries host 85% of world’s refugees’ https://t.co/W16lca4VmL,0,0,0,mig,0.5425830356097674,0.7246724742340326,0.3604935969855023,0.9578902721405029,0.11148800700902939
3824,"UK rejects Christian refugees recommended by UN, admits only Muslims among 1,112 Syrians admitted Jan-March 2018 https://t.co/vpvmMFaAnf via @jihadwatchRS",0,0,0,mig,0.5419373694040632,0.6855690072465054,0.39830573156162113,0.8699508309364319,0.04670124128460884
1872,"The best tool against anti-immigrant sentiment is no safe space for white supremacists: be they legislators or poor folks. Shame them, smash them. https://t.co/PSplQxYhi4",0,0,0,mig,0.5418839626146924,0.4859545337824978,0.5978133914468869,0.8053076267242432,0.11219508200883865
